timestamp,red,ir
8249129,83882,120601
8259129,83874,120612
8270129,83873,120621
8280129,83875,120605
8290129,83871,120609
8300129,83871,120615
8310129,83863,120627
8320129,83881,120623
8330129,83872,120618
8340129,83872,120634
8350129,83874,120651
8360129,83880,120655
8370129,83883,120663
8380129,83886,120653
8390129,83886,120655
8400129,83881,120664
8410129,83887,120656
8420129,83893,120659
8430129,83890,120660
8440129,83885,120665
8450129,83883,120660
8460129,83876,120653
8470129,83879,120661
8481129,83881,120655
8491129,83877,120656
8501129,83877,120663
8511129,83872,120653
8521129,83876,120648
8531129,83868,120636
8541129,83875,120617
8551129,83870,120611
8561129,83868,120598
8571129,83871,120583
8581129,83865,120580
8591129,83868,120579
8601129,83871,120605
8611129,83872,120597
8621129,83872,120599
8631129,83881,120621
8641129,83877,120624
8651129,83872,120636
8661129,83887,120648
8671129,83876,120655
8682129,83878,120655
8692129,83874,120661
8702129,83872,120659
8712129,83884,120683
8722129,83877,120683
8732129,83887,120686
8742129,83886,120691
8752129,83890,120711
8762129,83888,120709
8772129,83885,120708
8782129,83902,120712
8792129,83903,120706
8802129,83903,120695
8812129,83898,120701
8822129,83899,120701
8832129,83895,120694
8842129,83894,120712
8852129,83894,120704
8862129,83902,120708
8872129,83892,120718
8882129,83896,120713
8893129,83887,120722
8903129,83890,120723
8913129,83896,120734
8923129,83895,120747
8933129,83887,120763
8943129,83901,120753
8953129,83899,120763
8963129,83900,120770
8973129,83910,120773
8983129,83911,120791
8993129,83908,120783
9003129,83918,120807
9013129,83919,120796
9023129,83918,120826
9033129,83931,120817
9043129,83920,120835
9053129,83922,120808
9063129,83929,120838
9073129,83931,120833
9083129,83927,120846
9093129,83922,120857
9104129,83932,120835
9114129,83925,120860
9124129,83927,120854
9134129,83925,120861
9144129,83926,120851
9154129,83916,120850
9164129,83932,120857
9174129,83930,120847
9184129,83932,120828
9194129,83914,120813
9204129,83913,120802
9214129,83924,120796
9224129,83924,120794
9234129,83926,120794
9244129,83913,120806
9254129,83920,120801
9264129,83923,120802
9274129,83921,120819
9284129,83917,120829
9294129,83928,120834
9305129,83927,120844
9315129,83925,120854
9325129,83930,120866
9335129,83931,120895
9345129,83940,120889
9355129,83944,120909
9365129,83940,120907
9375129,83948,120930
9385129,83949,120924
9395129,83944,120924
9405129,83952,120941
9415129,83963,120940
9425129,83960,120930
9435129,83966,120919
9445129,83961,120929
9455129,83952,120912
9465129,83946,120917
9475129,83950,120914
9485129,83946,120928
9495129,83950,120938
9505129,83959,120926
9516129,83956,120942
9526129,83959,120931
9536129,83958,120970
9546129,83964,120965
9556129,83958,120972
9566129,83954,120988
9576129,83960,121006
9586129,83970,121006
9596129,83963,121027
9606129,83974,121026
9616129,83981,121039
9626129,83983,121043
9636129,83986,121038
9646129,83981,121041
9656129,83981,121058
9666129,83996,121045
9676129,83989,121065
9686129,83997,121062
9696129,83991,121064
9706129,83997,121081
9716129,84000,121091
9727129,84000,121092
9737129,84003,121081
9747129,83995,121092
9757129,84002,121101
9767129,83993,121112
9777129,84002,121128
9787129,84015,121130
9797129,84009,121144
9807129,84009,121132
9817129,84012,121143
9827129,84033,121141
9837129,84033,121132
9847129,84038,121140
9857129,84028,121125
9867129,84030,121146
9877129,84033,121130
9887129,84018,121134
9897129,84026,121156
9907129,84026,121153
9917129,84030,121191
9928129,84041,121195
9938129,84049,121214
9948129,84049,121240
9958129,84042,121269
9968129,84050,121285
9978129,84059,121290
9988129,84051,121307
9998129,84066,121318
10008129,84057,121331
10018129,84071,121345
10028129,84073,121353
10038129,84078,121367
10048129,84080,121376
10058129,84078,121358
10068129,84087,121357
10078129,84085,121357
10088129,84085,121358
10098129,84079,121348
10108129,84089,121354
10118129,84081,121363
10128129,84073,121341
10139129,84059,121342
10149129,84064,121371
10159129,84070,121378
10169129,84063,121392
10179129,84083,121420
10189129,84082,121429
10199129,84079,121437
10209129,84086,121448
10219129,84097,121461
10229129,84096,121451
10239129,84082,121452
10249129,84091,121458
10259129,84101,121465
10269129,84099,121469
10279129,84098,121461
10289129,84089,121434
10299129,84081,121445
10309129,84075,121432
10319129,84071,121419
10329129,84060,121422
10339129,84073,121423
10350129,84060,121422
10360129,84063,121425
10370129,84073,121444
10380129,84069,121445
10390129,84072,121453
10400129,84072,121459
10410129,84075,121470
10420129,84072,121468
10430129,84074,121482
10440129,84081,121488
10450129,84082,121471
10460129,84083,121461
10470129,84089,121442
10480129,84081,121420
10490129,84077,121405
10500129,84070,121400
10510129,84083,121407
10520129,84086,121404
10530129,84085,121412
10540129,84081,121418
10550129,84081,121430
10561129,84084,121447
10571129,84087,121467
10581129,84074,121475
10591129,84084,121499
10601129,84078,121501
10611129,84071,121516
10621129,84083,121520
10631129,84073,121546
10641129,84076,121535
10651129,84072,121537
10661129,84081,121538
10671129,84075,121519
10681129,84069,121509
10691129,84076,121493
10701129,84067,121489
10711129,84074,121472
10721129,84074,121467
10731129,84066,121473
10741129,84064,121476
10751129,84062,121466
10762129,84054,121465
10772129,84052,121470
10782129,84058,121478
10792129,84063,121496
10802129,84061,121496
10812129,84072,121504
10822129,84072,121500
10832129,84064,121492
10842129,84077,121505
10852129,84068,121507
10862129,84076,121517
10872129,84082,121511
10882129,84078,121525
10892129,84069,121510
10902129,84076,121518
10912129,84072,121530
10922129,84064,121527
10932129,84066,121498
10942129,84056,121521
10952129,84073,121534
10962129,84067,121522
10973129,84058,121527
10983129,84060,121528
10993129,84056,121514
11003129,84053,121508
11013129,84051,121497
11023129,84053,121467
11033129,84046,121437
11043129,84031,121418
11053129,84031,121400
11063129,84031,121381
11073129,84018,121376
11083129,84021,121370
11093129,84003,121362
11103129,84012,121373
11113129,84014,121371
11123129,84011,121385
11133129,84007,121380
11143129,84002,121390
11153129,84007,121391
11163129,83993,121392
11174129,84007,121420
11184129,84013,121403
11194129,84013,121430
11204129,84008,121426
11214129,84005,121441
11224129,84018,121429
11234129,84009,121435
11244129,84018,121428
11254129,84011,121436
11264129,84018,121430
11274129,84026,121434
11284129,84034,121451
11294129,84039,121435
11304129,84036,121446
11314129,84034,121437
11324129,84022,121454
11334129,84038,121440
11344129,84034,121450
11354129,84035,121453
11364129,84028,121463
11374129,84020,121452
11385129,84038,121470
11395129,84029,121462
11405129,84031,121470
11415129,84028,121473
11425129,84037,121490
11435129,84028,121488
11445129,84038,121499
11455129,84038,121512
11465129,84041,121509
11475129,84034,121517
11485129,84041,121526
11495129,84042,121533
11505129,84048,121527
11515129,84043,121533
11525129,84037,121527
11535129,84034,121528
11545129,84024,121524
11555129,84025,121524
11565129,84019,121512
11575129,84019,121484
11585129,84017,121494
11596129,84010,121489
11606129,84017,121464
11616129,84001,121451
11626129,83996,121455
11636129,84004,121430
11646129,83998,121427
11656129,83990,121427
11666129,83993,121433
11676129,84000,121453
11686129,84014,121472
11696129,84013,121472
11706129,84018,121474
11716129,84032,121501
11726129,84031,121492
11736129,84030,121498
11746129,84030,121485
11756129,84025,121509
11766129,84029,121512
11776129,84034,121516
11786129,84032,121531
11797129,84031,121518
11807129,84028,121513
11817129,84025,121504
11827129,84016,121517
11837129,84017,121503
11847129,84011,121510
11857129,84012,121507
11867129,84020,121507
11877129,84023,121510
11887129,84015,121521
11897129,84027,121490
11907129,84015,121480
11917129,84005,121469
11927129,84002,121466
11937129,83995,121485
11947129,83994,121485
11957129,83997,121498
11967129,84014,121497
11977129,84007,121492
11987129,83992,121466
11997129,83968,121443
12008129,83967,121413
12018129,83956,121390
12028129,83941,121393
12038129,83941,121406
12048129,83939,121435
12058129,83955,121424
12068129,83959,121439
12078129,83952,121427
12088129,83938,121425
12098129,83943,121409
12108129,83943,121387
12118129,83943,121370
12128129,83933,121370
12138129,83939,121358
12148129,83927,121363
12158129,83930,121325
12168129,83923,121308
12178129,83912,121290
12188129,83911,121262
12198129,83907,121268
12209129,83900,121251
12219129,83888,121241
12229129,83895,121254
12239129,83903,121271
12249129,83895,121277
12259129,83891,121263
12269129,83894,121264
12279129,83896,121260
12289129,83895,121274
12299129,83899,121288
12309129,83906,121312
12319129,83926,121331
12329129,83938,121350
12339129,83943,121348
12349129,83930,121346
12359129,83922,121325
12369129,83911,121310
12379129,83908,121273
12389129,83899,121267
12399129,83896,121271
12409129,83892,121267
12420129,83893,121264
12430129,83893,121253
12440129,83892,121247
12450129,83875,121222
12460129,83866,121220
12470129,83867,121215
12480129,83869,121234
12490129,83873,121243
12500129,83882,121269
12510129,83898,121256
12520129,83894,121255
12530129,83887,121237
12540129,83879,121221
12550129,83876,121203
12560129,83861,121198
12570129,83862,121193
12580129,83854,121198
12590129,83852,121191
12600129,83851,121201
12610129,83852,121193
12620129,83850,121201
12631129,83853,121201
12641129,83851,121181
12651129,83842,121205
12661129,83850,121220
12671129,83852,121233
12681129,83859,121243
12691129,83865,121237
12701129,83860,121218
12711129,83860,121196
12721129,83859,121166
12731129,83847,121148
12741129,83842,121142
12751129,83837,121123
12761129,83846,121113
12771129,83844,121119
12781129,83838,121135
12791129,83850,121142
12801129,83847,121150
12811129,83851,121142
12821129,83841,121152
12832129,83848,121160
12842129,83841,121148
12852129,83839,121153
12862129,83834,121154
12872129,83834,121168
12882129,83844,121162
12892129,83844,121168
12902129,83848,121159
12912129,83832,121158
12922129,83825,121160
12932129,83823,121149
12942129,83834,121154
12952129,83830,121148
12962129,83828,121150
12972129,83831,121144
12982129,83824,121141
12992129,83820,121126
13002129,83820,121112
13012129,83820,121118
13022129,83815,121120
13032129,83811,121136
13043129,83820,121138
13053129,83822,121152
13063129,83829,121161
13073129,83836,121173
13083129,83830,121180
13093129,83826,121189
13103129,83835,121177
13113129,83836,121192
13123129,83835,121222
13133129,83841,121217
13143129,83862,121246
13153129,83862,121236
13163129,83865,121234
13173129,83866,121234
13183129,83849,121240
13193129,83858,121225
13203129,83850,121225
13213129,83850,121224
13223129,83848,121223
13233129,83829,121208
13243129,83840,121207
13254129,83827,121191
13264129,83826,121164
13274129,83813,121129
13284129,83811,121117
13294129,83789,121101
13304129,83790,121074
13314129,83780,121064
13324129,83789,121054
13334129,83791,121065
13344129,83792,121054
13354129,83801,121065
13364129,83788,121056
13374129,83795,121064
13384129,83788,121074
13394129,83791,121087
13404129,83804,121078
13414129,83795,121082
13424129,83800,121073
13434129,83786,121074
13444129,83788,121082
13454129,83789,121090
13465129,83792,121100
13475129,83793,121088
13485129,83786,121100
13495129,83783,121097
13505129,83782,121110
13515129,83797,121106
13525129,83784,121102
13535129,83786,121100
13545129,83792,121106
13555129,83789,121103
13565129,83800,121105
13575129,83794,121099
13585129,83790,121093
13595129,83793,121124
13605129,83802,121109
13615129,83792,121115
13625129,83806,121122
13635129,83797,121125
13645129,83802,121122
13655129,83797,121140
13665129,83804,121153
13676129,83810,121136
13686129,83798,121152
13696129,83800,121141
13706129,83802,121137
13716129,83803,121170
13726129,83806,121160
13736129,83816,121174
13746129,83814,121199
13756129,83830,121213
13766129,83828,121205
13776129,83833,121216
13786129,83833,121216
13796129,83845,121220
13806129,83847,121236
13816129,83841,121241
13826129,83847,121240
13836129,83847,121251
13846129,83850,121247
13856129,83850,121236
13866129,83842,121213
13877129,83843,121205
13887129,83849,121182
13897129,83836,121160
13907129,83819,121158
13917129,83814,121135
13927129,83807,121145
13937129,83823,121148
13947129,83828,121176
13957129,83831,121179
13967129,83837,121186
13977129,83837,121187
13987129,83846,121203
13997129,83845,121212
14007129,83856,121210
14017129,83850,121226
14027129,83845,121240
14037129,83864,121242
14047129,83862,121247
14057129,83851,121244
14067129,83844,121256
14077129,83851,121241
14088129,83846,121237
14098129,83844,121242
14108129,83847,121240
14118129,83848,121237
14128129,83839,121233
14138129,83838,121239
14148129,83838,121235
14158129,83846,121239
14168129,83846,121255
14178129,83849,121246
14188129,83851,121258
14198129,83853,121247
14208129,83863,121250
14218129,83853,121260
14228129,83852,121242
14238129,83840,121252
14248129,83852,121252
14258129,83860,121256
14268129,83843,121271
14278129,83854,121270
14288129,83846,121281
14299129,83851,121286
14309129,83846,121285
14319129,83850,121284
14329129,83857,121293
14339129,83844,121301
14349129,83851,121297
14359129,83861,121310
14369129,83862,121319
14379129,83847,121343
14389129,83879,121348
14399129,83876,121363
14409129,83886,121350
14419129,83883,121372
14429129,83888,121353
14439129,83879,121373
14449129,83877,121358
14459129,83878,121353
14469129,83877,121331
14479129,83870,121304
14489129,83867,121292
14500129,83866,121271
14510129,83850,121248
14520129,83850,121242
14530129,83845,121256
14540129,83847,121256
14550129,83854,121264
14560129,83858,121262
14570129,83860,121276
14580129,83866,121299
14590129,83870,121292
14600129,83878,121320
14610129,83876,121324
14620129,83882,121327
14630129,83881,121337
14640129,83883,121350
14650129,83888,121361
14660129,83887,121366
14670129,83887,121354
14680129,83881,121363
14690129,83889,121362
14700129,83874,121353
14711129,83877,121351
14721129,83879,121337
14731129,83875,121340
14741129,83878,121328
14751129,83872,121334
14761129,83876,121331
14771129,83873,121317
14781129,83874,121336
14791129,83875,121358
14801129,83875,121357
14811129,83879,121362
14821129,83885,121367
14831129,83890,121364
14841129,83888,121376
14851129,83891,121374
14861129,83892,121374
14871129,83898,121370
14881129,83884,121391
14891129,83886,121387
14901129,83876,121386
14912129,83883,121396
14922129,83888,121378
14932129,83881,121389
14942129,83879,121390
14952129,83878,121387
14962129,83887,121390
14972129,83878,121389
14982129,83886,121403
14992129,83885,121410
15002129,83884,121432
15012129,83895,121429
15022129,83901,121433
15032129,83905,121435
15042129,83900,121446
15052129,83907,121430
15062129,83893,121435
15072129,83899,121402
15082129,83887,121389
15092129,83889,121364
15102129,83875,121346
15112129,83875,121333
15123129,83868,121305
15133129,83866,121302
15143129,83865,121302
15153129,83861,121321
15163129,83868,121337
15173129,83875,121328
15183129,83871,121336
15193129,83869,121343
15203129,83863,121362
15213129,83877,121356
15223129,83880,121373
15233129,83891,121385
15243129,83886,121385
15253129,83879,121382
15263129,83887,121399
15273129,83884,121400
15283129,83884,121402
15293129,83896,121390
15303129,83879,121386
15313129,83881,121393
15323129,83880,121377
15334129,83875,121376
15344129,83872,121356
15354129,83868,121364
15364129,83871,121362
15374129,83863,121371
15384129,83863,121380
15394129,83871,121366
15404129,83873,121385
15414129,83880,121390
15424129,83877,121407
15434129,83882,121410
15444129,83886,121404
15454129,83881,121406
15464129,83881,121415
15474129,83895,121408
15484129,83881,121406
15494129,83892,121413
15504129,83883,121427
15514129,83890,121415
15524129,83872,121424
15535129,83891,121427
15545129,83881,121428
15555129,83887,121435
15565129,83884,121429
15575129,83872,121436
15585129,83883,121437
15595129,83879,121439
15605129,83892,121447
15615129,83880,121452
15625129,83884,121460
15635129,83891,121472
15645129,83898,121466
15655129,83898,121471
15665129,83885,121451
15675129,83898,121441
15685129,83883,121422
15695129,83889,121406
15705129,83873,121387
15715129,83875,121355
15725129,83865,121359
15735129,83869,121355
15746129,83854,121344
15756129,83867,121343
15766129,83859,121357
15776129,83861,121346
15786129,83854,121360
15796129,83860,121379
15806129,83869,121377
15816129,83868,121384
15826129,83861,121392
15836129,83856,121399
15846129,83866,121420
15856129,83874,121403
15866129,83868,121404
15876129,83869,121402
15886129,83865,121408
